car_name,km_driven,manufactured_year,fuel_type,transmission,price
Maruti Swift,66.34k km,2018,Petrol,Auto,₹ 4.37 lakh
Maruti Swift Dzire,51.84k km,2015,Petrol,Manual,₹ 3.83 lakh
Maruti Swift Dzire,1.2L km,2012,Diesel,Manual,₹ 1.99 lakh
Maruti Wagon R 1.0,78.33k km,2017,Petrol,Manual,₹ 2.50 lakh
Maruti A Star,72.64k km,2010,Petrol,Manual,₹ 1.04 lakh
Maruti Wagon R 1.0,22.39k km,2011,Petrol,Manual,₹ 1.46 lakh
Maruti Swift Dzire,1.2L km,2010,Petrol,Manual,₹ 2.50 lakh
Maruti Ertiga,3.1L km,2013,Petrol,Manual,₹ 3.95 lakh
Maruti Swift,16.01k km,2019,Petrol,Auto,₹ 4.87 lakh
Maruti Wagon R 1.0,94.50k km,2014,Petrol,Manual,₹ 2.54 lakh
Maruti Wagon R 1.0,77.57k km,2016,Petrol,Auto,₹ 2.95 lakh
Maruti Wagon R 1.0,62.32k km,2015,Petrol,Manual,₹ 3.38 lakh
Maruti Wagon R 1.0,84.57k km,2015,Petrol,Manual,₹ 3.11 lakh
Maruti Ertiga,63.17k km,2015,Petrol,Manual,₹ 5.28 lakh
Maruti FRONX,31.83k km,2023,Petrol,Manual,₹ 7.84 lakh
Maruti Alto,80.58k km,2012,Petrol,Manual,₹ 0.90 lakh
Maruti Swift Dzire,1.2L km,2011,Petrol,Manual,₹ 1.70 lakh
Maruti Wagon R 1.0,76.30k km,2010,Petrol,Manual,₹ 0.95 lakh
Maruti Baleno,1.2L km,2016,Petrol,Manual,₹ 4.22 lakh
Maruti Ritz,43.67k km,2012,Petrol,Manual,₹ 1.50 lakh
Maruti Zen Estilo,46.29k km,2010,Petrol,Manual,₹ 0.89 lakh
Maruti Wagon R 1.0,54.49k km,2013,Petrol,Manual,₹ 2.35 lakh
Maruti Ertiga,1.4L km,2013,Diesel,Manual,₹ 4.89 lakh
Maruti Ertiga,86.91k km,2014,Petrol,Manual,₹ 5.58 lakh
Maruti Wagon R Duo,1.4L km,2010,Petrol,Manual,₹ 1.00 lakh
Maruti Wagon R 1.0,1.0L km,2010,Petrol,Manual,₹ 1.49 lakh
Maruti Swift Dzire,65.05k km,2014,Petrol,Manual,₹ 3.50 lakh
Maruti Swift Dzire,59.73k km,2011,Petrol,Manual,₹ 1.64 lakh
Maruti Alto,28.34k km,2011,Petrol,Manual,₹ 0.87 lakh
Maruti Ertiga,93.82k km,2015,Petrol,Manual,₹ 5.79 lakh
Maruti Wagon R 1.0,62.78k km,2010,Petrol,Manual,₹ 1.45 lakh
Maruti Wagon R 1.0,44.64k km,2011,Petrol,Manual,₹ 1.38 lakh
Maruti Swift Dzire,40.18k km,2010,Petrol,Manual,₹ 1.71 lakh
Maruti Swift Dzire,42.36k km,2013,Petrol,Manual,₹ 3.19 lakh
Maruti Alto 800,65.11k km,2018,Petrol,Manual,₹ 2.52 lakh
Maruti Dzire,42.17k km,2018,Diesel,Auto,₹ 5.81 lakh
Maruti IGNIS,54.59k km,2017,Petrol,Manual,₹ 3.35 lakh
Maruti Wagon R 1.0,1.2L km,2015,Petrol,Manual,₹ 2.50 lakh
Maruti Alto K10,1.1L km,2010,Petrol,Manual,₹ 0.90 lakh
Maruti Swift,1.1L km,2014,Petrol,Manual,₹ 3.00 lakh
Maruti Celerio,24.61k km,2017,Petrol,Auto,₹ 3.25 lakh
Maruti Ritz,1.8L km,2012,Diesel,Manual,₹ 1.64 lakh
Maruti Dzire,58.38k km,2018,Petrol,Manual,₹ 4.93 lakh
Maruti Swift,1.2L km,2010,Petrol,Manual,₹ 1.52 lakh
Maruti Swift,30.97k km,2010,Petrol,Manual,₹ 1.70 lakh
Maruti Wagon R 1.0,71.25k km,2015,Petrol,Manual,₹ 2.47 lakh
Maruti Ertiga,72.65k km,2016,Petrol,Auto,₹ 5.14 lakh
Maruti Dzire,94.26k km,2017,Diesel,Manual,₹ 5.19 lakh
Maruti Alto 800,33.34k km,2018,Petrol,Manual,₹ 2.25 lakh
Maruti Swift,29.49k km,2011,Petrol,Manual,₹ 1.67 lakh
Maruti Wagon R 1.0,47.05k km,2014,Petrol,Manual,₹ 2.77 lakh
Maruti Wagon R 1.0,34.80k km,2014,Petrol,Manual,₹ 2.41 lakh
Maruti Swift Dzire,92.18k km,2011,Diesel,Manual,₹ 1.83 lakh
Maruti Eeco,93.10k km,2011,Petrol,Manual,₹ 1.78 lakh
Maruti Celerio,56.42k km,2014,Petrol,Manual,₹ 3.20 lakh
Maruti Ertiga,89.00k km,2013,Petrol,Manual,₹ 4.58 lakh
Maruti Ritz,61.87k km,2010,Petrol,Manual,₹ 1.42 lakh
Maruti S Cross,52.30k km,2019,Diesel,Manual,₹ 7.25 lakh
Maruti Swift Dzire,1.4L km,2016,Petrol,Manual,₹ 4.25 lakh
Maruti Baleno,48.41k km,2017,Petrol,Manual,₹ 5.04 lakh
Maruti Wagon R,410 km,2010,Petrol,Manual,₹ 1.39 lakh
Maruti Ertiga,83.54k km,2018,Petrol,Manual,₹ 5.50 lakh
Maruti Ciaz,73.14k km,2017,Petrol,Manual,₹ 4.67 lakh
Maruti Alto 800,74.39k km,2012,Petrol,Manual,₹ 1.25 lakh
Maruti XL6,19.64k km,2021,Petrol,Auto,₹ 9.66 lakh
Maruti Ritz,1.3L km,2010,Petrol,Manual,₹ 0.89 lakh
Maruti S Cross,1.4L km,2015,Diesel,Manual,₹ 3.90 lakh
Maruti Zen Estilo,84.68k km,2013,Petrol,Manual,₹ 1.67 lakh
Maruti Zen Estilo,75.61k km,2012,Petrol,Manual,₹ 1.40 lakh
Maruti Swift Dzire,43.58k km,2011,Petrol,Manual,₹ 1.90 lakh
Maruti Swift Dzire,93.13k km,2010,Diesel,Manual,₹ 1.86 lakh
Maruti Wagon R 1.0,22.81k km,2014,Petrol,Manual,₹ 2.59 lakh
Maruti Dzire,23.28k km,2018,Petrol,Manual,₹ 5.24 lakh
Maruti Wagon R 1.0,96.37k km,2016,Petrol,Manual,₹ 2.59 lakh
Maruti Celerio,25.14k km,2015,Petrol,Auto,₹ 3.15 lakh
Maruti Wagon R 1.0,52.24k km,2015,Petrol,Manual,₹ 2.82 lakh
Maruti Swift Dzire,3.7L km,2010,Petrol,Manual,₹ 1.14 lakh
Maruti Eeco,1.4L km,2010,Petrol,Manual,₹ 2.53 lakh
Maruti Alto K10,24.21k km,2011,Petrol,Manual,₹ 1.40 lakh
Maruti Zen Estilo,77.51k km,2010,Petrol,Manual,₹ 0.77 lakh
Maruti Alto 800,15.30k km,2016,Petrol,Manual,₹ 2.09 lakh
Maruti Swift Dzire,1.5L km,2010,Petrol,Manual,₹ 1.23 lakh
Maruti Alto K10,48.00k km,2011,Petrol,Manual,₹ 0.97 lakh
Maruti Ertiga,94.35k km,2017,Petrol,Manual,₹ 6.67 lakh
Maruti Ertiga,78.88k km,2020,Petrol,Manual,₹ 9.40 lakh
Maruti Ciaz,27.57k km,2017,Petrol,Manual,₹ 4.45 lakh
Maruti Wagon R 1.0,1.4L km,2016,Petrol,Manual,₹ 2.53 lakh
Maruti Baleno,2.4L km,2016,Diesel,Manual,₹ 3.89 lakh
Maruti Swift Dzire,52.25k km,2016,Petrol,Manual,₹ 4.08 lakh
Maruti Ertiga,1.9L km,2015,Diesel,Manual,₹ 5.25 lakh
Maruti SX4,1.4L km,2012,Petrol,Manual,₹ 1.10 lakh
Maruti Wagon R 1.0,2.7L km,2015,Petrol,Manual,₹ 2.50 lakh
Maruti Wagon R 1.0,45.39k km,2014,Petrol,Manual,₹ 2.61 lakh
Maruti Swift Dzire,98.38k km,2010,Petrol,Manual,₹ 1.09 lakh
Maruti Alto 800,6.5L km,2016,Petrol,Manual,₹ 2.19 lakh
Maruti SX4,92.28k km,2011,Petrol,Auto,₹ 1.09 lakh
Maruti Ritz,84.14k km,2010,Petrol,Manual,₹ 0.80 lakh
Maruti Wagon R 1.0,37.17k km,2016,Petrol,Auto,₹ 2.80 lakh
Maruti Celerio,64.73k km,2020,Petrol,Manual,₹ 4.88 lakh
Maruti Ertiga,96.34k km,2015,Diesel,Manual,₹ 6.40 lakh
Maruti Alto,25.85k km,2010,Petrol,Manual,₹ 1.28 lakh
Maruti S PRESSO,76.50k km,2021,Petrol,Manual,₹ 3.71 lakh
Maruti Ritz,61.32k km,2011,Petrol,Manual,₹ 1.40 lakh
Maruti Ritz,14.21k km,2011,Petrol,Manual,₹ 1.30 lakh
Maruti IGNIS,98.00k km,2017,Diesel,Manual,₹ 3.90 lakh
Maruti Alto K10,88.72k km,2010,Petrol,Manual,₹ 0.94 lakh
Maruti Ertiga,25.32k km,2017,Petrol,Manual,₹ 7.50 lakh
Maruti XL6,1.6L km,2022,Petrol,Manual,₹ 9.08 lakh
Maruti Ertiga,1.2L km,2014,Petrol,Manual,₹ 5.10 lakh
Maruti Wagon R 1.0,1.6L km,2013,Petrol,Manual,₹ 2.39 lakh
Maruti Alto K10,35.62k km,2010,Petrol,Manual,₹ 1.24 lakh
Maruti Wagon R 1.0,32.51k km,2016,Petrol,Manual,₹ 3.19 lakh
Maruti Zen Estilo,1.0L km,2010,Petrol,Manual,₹ 0.90 lakh
Maruti Celerio,35.00k km,2017,Petrol,Manual,₹ 2.80 lakh
Maruti Swift,93.90k km,2011,Petrol,Manual,₹ 1.70 lakh
